log_id,timestamp,trace_id,src_ip,dst_ip,dst_port,dst_service_name,request_path,http_status,payload_bytes
log-0356,2026-05-18T08:00:00.579,tr-47615,10.0.0.1,10.0.3.12,8080,order-svc,/health,200,104
log-0229,2026-05-18T08:00:18.391,tr-36336,10.0.3.12,10.0.5.11,9200,log-aggregator,/search,200,3372
log-0298,2026-05-18T08:00:22.582,tr-74527,10.0.3.12,10.0.5.11,9200,log-aggregator,/bulk,200,3423
log-0140,2026-05-18T08:00:24.451,tr-17172,193.32.127.92,10.0.1.12,443,api-gateway,/api/v1/login,200,1570
log-0043,2026-05-18T08:00:33.390,tr-74393,45.33.32.156,10.0.1.12,443,api-gateway,/api/v1/pay,200,5255
log-0354,2026-05-18T08:01:28.891,tr-16450,10.0.0.1,10.0.3.12,8080,order-svc,/health,200,82
log-0233,2026-05-18T08:01:37.352,tr-65393,10.0.1.11,10.0.5.11,9200,log-aggregator,/ingest,200,2943
log-0234,2026-05-18T08:01:46.126,tr-47506,10.0.1.12,10.0.5.11,9200,log-aggregator,/ingest,200,3979
log-0111,2026-05-18T08:01:47.141,tr-76000,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/search,200,1799
log-0004,2026-05-18T08:02:01.027,tr-86254,104.21.55.33,10.0.1.11,443,api-gateway,/health,200,241
log-0074,2026-05-18T08:02:06.924,tr-22921,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/login,401,3163
log-0198,2026-05-18T08:02:10.937,tr-45931,10.0.1.11,10.0.2.11,8080,auth-service,/auth/refresh,200,858
log-0015,2026-05-18T08:02:42.706,tr-65452,203.0.113.45,10.0.1.11,443,api-gateway,/api/v1/orders,201,3714
log-0225,2026-05-18T08:03:21.268,tr-58236,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/charge,200,4322
log-0024,2026-05-18T08:03:25.362,tr-97188,172.67.88.12,10.0.1.11,443,api-gateway,/api/v1/orders,200,1681
